from	to
Aspirin	M0013320
Quinine	M0010145
Clarithromycin	M0012014
Tetracycline	M0006829
Divalproex	M0335637
Disopyramide	M0019783
Potassium Chloride	M0005757
Metoclopramide	M0007564
Lorazepam	M0006829
Chlorthalidone	M0006829
Hyoscyamine	M0006829
Fluorometholone	M0006829
Butorphanol	M0001885
Imatinib mesylate	M0006829
Sodium Bicarbonate	M0006829
Morphine	M0001885
Sildenafil	M0006829
Indinavir	M0006829
Ramipril	M0006829
Dextromethorphan Hydrobromide	M0006829
Verapamil	M0022990
Cyproheptadine	M0002634
Dutasteride	M0017471
Amitriptyline	M0006829
Potassium Chloride	M0000346
Warfarin	M0006985
Ofloxacin	M0006829
Nimodipine	M0010927
Amiodarone	M0002863
Prednisolone	M0022460
Clomipramine	M0014340
Metoclopramide	M0010153
Pheniramine	M0006829
Acarbose	M0004771
Almotriptan	M0328070
Levocetirizine	M0025974
Phenytoin	M0017471
Azithromycin	M0012644
Abacavir	M0461663
Phenylephrine	M0026083
Paroxetine	M0006829
Cyproheptadine	M0016211
Ciclosporin	M0001750
Nitroglycerin	M0009821
Silodosin	M0012014
Nortriptyline	M0006829
Acetazolamide	M0012746
Norfloxacin	M0021155
Galantamine	M0025970
Enalaprilat	M0006829
Dextropropoxyphene	M0017471
Atropine	M0014279
Glucosamine	M0006829
Almotriptan	M0001181
Aspirin	M0014487
Magaldrate	M0006829
Gemfibrozil	M0025970
Tramadol	M0014475
Ethinyl Estradiol	M0006829
Gemfibrozil	M0008958
Atorvastatin	M0025970
Haloperidol	M0005191
Clonazepam	M0006829
Meloxicam	M0017471
Quinine	M0006855
Fosaprepitant	M0006829
Atenolol	M0009945
Conjugated Estrogens	M0018126
Albendazole	M0006829
Pramipexole	M0006829
Nevirapine	M0012644
Phytomenadione	M0006829
Tamoxifen	M0018126
Colchicine	M0006829
Naproxen	M0006829
Atenolol	M0006829
Streptomycin	M0010851
Ticagrelor	M0006829
Measles Vaccine (Live)	M0012382
Betaxolol	M0017490
Quetiapine	M0012644
Hyoscyamine	M0009260
Levodopa	M0013309
Measles Vaccine (Live)	M0028434
Morphine	M0011575
Calcium Chloride	M0010814
Nateglinide	M0006829
Fosinopril	M0006829
Prasugrel	M0016211
Thioridazine	M0010859
Exemestane	M0006829
Valganciclovir	M0014782
Budesonide	M0000322
Phenobarbitone	M0025970
Clarithromycin	M0026010
Fosfestrol	M0021432
Indomethacin	M0006829
Rizatriptan	M0010859
Bupropion	M0020676
Clomiphene	M0006829
Codeine	M0011575
Miglitol	M0025687
Tigecycline	M0006829
Ketotifen	M0006829
Verapamil	M0027729
Ciclosporin	M0030735
Rizatriptan	M0003887
Tolterodine	M0010851
Amlodipine	M0010927
Fluocinolone acetonide	M0010851
Mercaptopurine	M0021428
Disopyramide	M0006829
Ursodeoxycholic Acid	M0004258
Chlorpropamide	M0017471
Doxazosin	M0010927
Topiramate	M0006829
Nicotinamide	M0010152
