from	to
Sumatriptan	N0000175763
Chloramphenicol	N0000000150
Amantadine	N0000000193
Ketotifen	N0000000190
Raloxifene	N0000000168
Zolpidem	N0000000196
Desonide	N0000000134
Baclofen	N0000000116
Zolmitriptan	N0000000256
Fosfestrol	N0000000100
Imatinib mesylate	N0000020009
Cinacalcet	N0000020081
Enalaprilat	N0000000181
Butorphanol	N0000000174
Insulin Degludec	N0000000225
Ketoconazole	N0000182141
Zinc acetate	N0000000226
Methotrexate	N0000000098
Desloratadine	N0000000190
Dexamethasone	N0000175450
Human Rabies Immunoglobulin	N0000009949
Verapamil	N0000182141
Eletriptan	N0000175763
Desonide	N0000175450
Tenofovir Alafenamide	N0000009947
Atenolol	N0000009923
Chlorpromazine	N0000009915
Enoxaparin	N0000175635
Leflunomide	N0000000233
Solifenacin	N0000000125
Adenosine	N0000175788
Fluoxetine	N0000000109
Tibolone	N0000000100
Clopidogrel	N0000187062
Amphotericin B	N0000009957
Clopidogrel	N0000182143
Loteprednol etabonate	N0000000159
Betaxolol	N0000000161
Pentazocine	N0000175686
Pentazocine	N0000175685
Methylphenidate	N0000000102
Palonosetron	N0000175817
Topiramate	N0000182140
Efavirenz	N0000182140
Chlorthalidone	N0000181005
Safinamide	N0000185504
Safinamide	N0000190115
Prasugrel	N0000182143
Atazanavir	N0000191269
Warfarin	N0000175964
Phenytoin	N0000190118
Levofloxacin	N0000020086
Epinastine	N0000000209
Desonide	N0000000159
Clozapine	N0000000125
Bromfenac	N0000000160
Levocetirizine	N0000000190
Amiodarone	N0000182137
Astemizole	N0000000190
Diazepam	N0000000118
Letrozole	N0000000133
Verapamil	N0000020065
Buspirone	N0000000256
Amantadine	N0000175542
Hydroxocobalamin	N0000000163
Ergotamine	N0000000209
Felodipine	N0000020065
Zinc Sulfate	N0000000163
Amiodarone	N0000185503
Pyrazinamide	N0000009915
Rizatriptan	N0000000256
Bemiparin	N0000175635
Ticagrelor	N0000182141
Nitrazepam	N0000000118
Clobazam	N0000182137
Acarbose	N0000010274
Ciclosporin	N0000009915
Glimepiride	N0000000225
Rifabutin	N0000000233
Acetazolamide	N0000000235
Lithium carbonate	N0000000234
Linezolid	N0000000150
Dextropropoxyphene	N0000181004
Olopatadine	N0000000190
Risperidone	N0000000230
Betamethasone	N0000000134
Pantoprazole	N0000000147
Amlodipine	N0000020065
Tamsulosin	N0000009919
Vancomycin	N0000000133
Enoxaparin	N0000000107
Phenylephrine	N0000009917
Desvenlafaxine	N0000000109
Mercaptopurine	N0000175074
Omeprazole	N0000000147
Silodosin	N0000009919
Pyrimethamine	N0000000191
Rasagiline	N0000175761
Moxifloxacin	N0000020087
Ezetimibe	N0000000223
Mycophenolate mofetil	N0000000233
Quinidine	N0000182137
Clotrimazole	N0000010265
Azithromycin	N0000000150
Nicotinamide	N0000000231
Betamethasone	N0000175450
Insulin Lispro	N0000000225
Clonazepam	N0000000196
Baclofen	N0000000196
Nitroglycerin	N0000000120
Ergotamine	N0000190114
Rosiglitazone	N0000175377
Capreomycin	N0000009915
Candesartan	N0000180999
Ciclosporin	N0000175458
Fosinopril	N0000000181
Fluphenazine	N0000000230
Human Rabies Immunoglobulin	N0000000135
Hyoscyamine	N0000000125
Midazolam	N0000000196
Isosorbide Mononitrate	N0000185499
Fluocinolone acetonide	N0000000159
Fexofenadine	N0000000190
Idoxuridine	N0000000233
Potassium Citrate	N0000009986
Adefovir	N0000009947
Mycophenolate mofetil	N0000000133
Amantadine	N0000000203
Phenytoin	N0000000180
Lorazepam	N0000000118
Olanzapine	N0000000230
Propranolol	N0000000161
Mometasone	N0000000159
Bemiparin	N0000000107
Clozapine	N0000000130
Atropine	N0000000125
Topiramate	N0000185506
Almotriptan	N0000000256
Nimodipine	N0000020065
Etoposide	N0000000176
Triamcinolone	N0000000134
Risperidone	N0000000190
