from	to
Erythromycin	M0028311
Ciprofloxacin	M0372253
Nepafenac	M0001335
Isosorbide Dinitrate	M0014874
Tobramycin	M0000946
Conjugated Estrogens	M0007786
Glibenclamide	M0020795
Ursodeoxycholic Acid	M0002475
Nimodipine	M0006414
Didanosine	N0000175459
Amlodipine	M0006414
Benzathine penicillin G	M0016152
Ganciclovir	N0000175459
Ketoconazole	M0002083
Indomethacin	M0001335
Methotrexate	M0008658
Kanamycin	M0000946
Dapsone	M0020791
Neomycin	M0000946
Calcium Chloride	M0026683
Insulin Glulisine	M0011417
Risedronate	M0006519
Gemfibrozil	M0199111
Luliconazole	M0002083
Vitamin K	M0022806
Digoxin	M0003451
Famciclovir	N0000175459
Terbinafine	M0000751
Idoxuridine	N0000175459
Itraconazole	M0002083
Tigecycline	M0021223
Meropenem	M0024174
Hepatitis B Vaccine	M0023305
Sucralfate	M0015420
Miconazole	M0002083
Caspofungin	M0519359
Clarithromycin	M0028311
Glipizide	M0020795
Zolpidem	M0018233
Insulin Glulisine	M0030233
Lamivudine	N0000175459
Octreotide acetate	M0020152
Clotrimazole	M0002083
Insulin Aspart	M0011417
Lidocaine	M0000897
Sulphacetamide	M0020790
Promethazine	M0016525
Ibuprofen	M0001335
Rifampicin	M0019113
Penicillin V	M0016152
Insulin Lispro	M0011417
Aztreonam	M0014030
Niacinamide	M0014839
Penicillin G	M0016152
Calcitriol	M0004229
Adefovir	N0000175459
Levofloxacin	M0372253
Ketoprofen	M0001335
Caspofungin	M0507131
Abacavir	N0000175459
Human insulin	M0011417
Alprazolam	M0002356
Diclofenac	M0001335
Vancomycin	M0009481
Voriconazole	M0002083
Insulin Aspart	M0030233
Tetanus Toxoid	M0023305
Imipramine	M0010294
Azathioprine	M0015066
Metformin	M0002471
Bromfenac	M0001335
Amoxapine	M0010294
Levofloxacin	M0023650
Fluconazole	M0002083
Streptomycin	M0000946
Methotrexate	M0030233
Valganciclovir	N0000175459
Insulin Lispro	M0030233
Clonazepam	M0002356
Ribavirin	N0000175459
Linezolid	M0361132
Azathioprine	N0000175459
Balsalazide	M0000971
Gentamicin	M0000946
Liraglutide	M0160181
Diazepam	M0002356
Alendronic Acid	M0006519
Chlorpromazine	M0016525
Midazolam	M0002356
Conjugated Estrogens	M0007792
Metronidazole	M0014907
Efavirenz	N0000175460
Rifabutin	M0019113
Nevirapine	N0000175460
Ethinyl Estradiol	M0447348
Thioridazine	M0016525
Netilmicin	M0000946
Amikacin	M0000946
Phytomenadione	M0022806
Clobazam	M0002356
Acitretin	M0018962
Nicotinamide	M0014839
Amphotericin B	M0017172
Nateglinide	N0000177907
Ethinyl Estradiol	M0007786
Aspirin	M0001335
Valacyclovir	N0000175459
Sulfasalazine	M0000971
Amitriptyline	M0010294
Chromium	M0000728
Azathioprine	M0018169
Trifluoperazine	M0016525
Colchicine	M0000713
Heparin	M0010187
Rosiglitazone	M0447306
Hepatitis B Vaccine	M0026310
Doxycycline	M0021223
Oxymetazoline	M0461078
Meloxicam	M0001335
Enoxaparin	M0010191
Piroxicam	M0001335
Insulin detemir	M0011417
Ofloxacin	M0023650
Nitroglycerin	M0014874
Acyclovir	N0000175459
Chlordiazepoxide	M0002356
Insulin Glargine	M0011417
Moxifloxacin	M0023650
Ketorolac	M0001335
Calcitriol	M0030233
Azithromycin	M0028311
Ertapenem	M0024174
Octreotide acetate	M0030233
Calcium	M0026683
Chlorpropamide	M0020795
Clomipramine	M0010294
Acetazolamide	M0020790
Measles Vaccine (Live)	M0013153
Tetanus Toxoid	M0021204
Oxytetracycline	M0021223
Ciprofloxacin	M0023650
Repaglinide	N0000177907
Minocycline	M0021223
Mesalazine	M0000971
Lorazepam	M0002356
Insulin Glargine	M0030233
Measles Vaccine (Live)	M0022454
Isosorbide Mononitrate	M0014874
Fenofibrate	M0199111
Sertaconazole	M0002083
Insulin Degludec	M0011417
Calcium	M0003153
Methylcobalamin	M0022794
Tenofovir disoproxil fumarate	N0000175459
Glimepiride	M0020795
Oxazepam	M0002356
Chloramphenicol	N0000175479
Estradiol	M0447348
Nortriptyline	M0010294
Liraglutide	M0030233
Naproxen	M0001335
Levodopa	M0370111
Sulfadiazine	M0020790
Entecavir	N0000175459
Ibandronic Acid	M0006519
Tetracycline	M0021223
Fluphenazine	M0016525
Moxifloxacin	M0372253
Ergotamine	M0007665
Insulin Degludec	M0030233
Danazol	M0447347
Norfloxacin	M0023650
Conjugated Estrogens	M0447348
Oxiconazole	M0002083
Felodipine	M0006414
Vitamin A	M0022788
Estradiol	M0007786
Demeclocycline	M0021223
Dalteparin	M0010191
Calcium Gluconate	M0026683
Danazol	M0001109
Zoledronic acid	M0006519
Mefenamic Acid	M0001335
