from	to
Desonide	N0000178306
Tobramycin	N0000178296
Calcium Chloride	N0000193844
Ursodeoxycholic Acid	N0000178370
Valproic Acid	N0000178313
Levosalbutamol	N0000178318
Tacrolimus	N0000193837
Metoprolol Succinate	N0000178309
Chlorpromazine	N0000178312
Mesalazine	N0000178370
Miglitol	N0000193820
Acarbose	N0000193820
Betaxolol	N0000193840
Neomycin	N0000178296
Moxifloxacin	N0000178300
Desvenlafaxine	N0000178314
Fosfestrol	N0000178307
Iron	N0000193844
Piribedil	N0000193816
Ketotifen	N0000178318
Paracetamol	N0000178306
Sulfasalazine	N0000178308
Bromfenac	N0000193840
Metronidazole	N0000178300
Dalteparin	N0000178309
Vancomycin	N0000178296
Codeine	N0000193809
Cholestyramine	N0000178309
Atomoxetine	N0000178312
Clopidogrel	N0000193821
Niacinamide	N0000193844
Famotidine	N0000178370
Amantadine	N0000178312
Almotriptan	N0000178312
Insulin Lispro	N0000193820
Isosorbide Mononitrate	N0000193840
Diazepam	N0000193818
Ergotamine	N0000193814
Flupenthixol	N0000178316
Pentazocine	N0000193809
Aspirin	N0000193809
Doxycycline	N0000178296
Pregabalin	N0000178312
Sertaconazole	N0000178297
Terbinafine	N0000178297
Lidocaine	N0000193809
Nelfinavir	N0000178304
Potassium Chloride	N0000193844
Human Rabies Immunoglobulin	N0000193837
Amoxapine	N0000178314
Penicillin G	N0000178296
Promethazine	N0000178318
Sevelamer	N0000178309
Baclofen	N0000193843
Omeprazole	N0000178370
Liraglutide	N0000178312
Sitagliptin	N0000193820
Piroxicam	N0000178306
Capecitabine	N0000193837
Carbamazepine	N0000178315
Danazol	N0000193825
Chloroquine	N0000178299
Granisetron	N0000178371
Tetracycline	N0000178300
Dapsone	N0000193823
Betamethasone	N0000178370
Carbamazepine	N0000178314
Duloxetine	N0000178314
Valproic Acid	N0000178314
Clozapine	N0000178316
Betamethasone	N0000178308
Leflunomide	N0000178308
Loteprednol etabonate	N0000193840
Conjugated Estrogens	N0000193830
Pregabalin	N0000193811
Abacavir	N0000178304
Metformin	N0000193820
Isosorbide Mononitrate	N0000193841
Oxymetazoline	N0000178318
Triamcinolone	N0000178306
Ethinyl Estradiol	N0000193834
Trifluoperazine	N0000178316
Captopril	N0000178309
Ondansetron	N0000178371
Sucralfate	N0000178370
Silodosin	N0000193825
Nitrazepam	N0000193842
Quinine	N0000178299
Amiodarone	N0000178311
Erythromycin	N0000178300
Fentanyl	N0000193809
Desonide	N0000193823
Methotrexate	N0000178308
Ibuprofen	N0000193809
Theophylline	N0000178318
Lidocaine	N0000178311
Hydrocortisone	N0000178306
Hydroxyzine	N0000193818
Paroxetine	N0000178314
Caspofungin	N0000178297
Baclofen	N0000193817
Lithium carbonate	N0000178315
Ofloxacin	N0000178300
Aztreonam	N0000178296
Bicalutamide	N0000193834
Ropinirole	N0000193816
Tenofovir Alafenamide	N0000178304
Fluticasone Propionate	N0000178318
Vardenafil	N0000193825
Phytomenadione	N0000193821
Dextromethorphan Hydrobromide	N0000178319
Tizanidine	N0000193817
Benazepril	N0000178309
Fenofibrate	N0000178309
Griseofulvin	N0000178297
Nimodipine	N0000178309
Ticagrelor	N0000193821
Tadalafil	N0000193825
Acyclovir	N0000178304
Sodium Bicarbonate	N0000178370
Cetirizine	N0000178306
Aceclofenac	N0000178306
Quinidine	N0000178311
Dextropropoxyphene	N0000193809
Dutasteride	N0000193825
Octreotide acetate	N0000178307
Miconazole	N0000178297
Mycophenolate mofetil	N0000193837
Roxithromycin	N0000178296
Warfarin	N0000178309
Calcitriol	N0000178370
Lisinopril	N0000178309
