from	to
Chlorpromazine	M0029636
Aztreonam	M0017955
Capreomycin	M0014287
Vancomycin	M0002126
Indomethacin	M0011307
Penicillin G	M0001315
Prednisolone	M0020377
Trimethoprim	M0017900
Promethazine	M0019020
Prednisolone	M0004771
Hydroxocobalamin	M0014197
Penicillamine	M0013450
Loratadine	M0022414
Sulfadiazine	M0014935
Bromfenac	M0015751
Hydrocortisone	M0019014
Methylprednisolone	M0019014
Kanamycin	M0002126
Insulin Glargine	M0006152
Albendazole	M0014540
Captopril	M0027729
Doxycycline	M0018746
Metronidazole	M0000878
Glucosamine	M0002115
Kanamycin	M0007733
Nortriptyline	M0001943
Buspirone	M0001533
Fosfestrol	M0003424
Penicillin G	M0019666
Chlorpropamide	M0006155
Ofloxacin	M0002972
Midazolam	M0018023
Danazol	M0008440
Methylprednisolone	M0020964
Amoxapine	M0006033
Insulin Degludec	M0006152
Armodafinil	M000601712
Trifluoperazine	M0001533
Methylprednisolone	M0014639
Cefpodoxime Proxetil	M0005558
Ertapenem	M0012059
Ciclosporin	M0009302
Dexamethasone	M0012757
Albendazole	M0001101
Imipramine	M0000522
Digoxin	M0019783
Amphotericin B	M0012335
Gentamicin	M0007392
Chlorthalidone	M0012636
Prednisolone	M0014639
Cefpodoxime Proxetil	M0026784
Atenolol	M0026083
Conjugated Estrogens	M0010905
Selegiline	M0000842
Ranitidine	M0009024
Epinastine	M0005017
Pregabalin	M0019597
Colchicine	M0016320
Amantadine	M0015968
Ertapenem	M0027697
Amoxapine	M0018036
Sertaconazole	M0014313
Fluocinolone acetonide	M0009782
Sevelamer	M0506086
Ciclosporin	M0001750
Glucagon	M0010901
Sulfadiazine	M0013369
Clonazepam	M0018926
Estradiol	M0013381
Penicillin G	M0020966
Disopyramide	M0001715
Clarithromycin	M0015563
Metoclopramide	M0027865
Kanamycin	M0025671
Ertapenem	M0009740
Isosorbide Dinitrate	M0005191
Fluocinolone acetonide	M0017935
Streptomycin	M0017900
Oxytetracycline	M0020966
Carbamazepine	M0020602
Halobetasol	M0011307
Ciprofloxacin	M0001315
Naproxen	M0002115
Chromium	M0015124
Minocycline	M0007733
Tizanidine	M0014234
Hydrocortisone	M0019782
Lidocaine	M0028234
Triamcinolone	M0007681
Demeclocycline	M0022373
Lansoprazole	M0020546
Methotrexate	M0021192
Demeclocycline	M0011185
Gentamicin	M0018919
Thiopental Sodium	M0029084
Fosphenytoin	M0007564
Gentamicin	M0022373
Fosphenytoin	M0020463
Methylprednisolone	M0021487
Clarithromycin	M0014288
Ketoconazole	M0021568
Azelastine	M0005017
Calcium Gluconate	M0010828
Cholestyramine	M0010833
Benzathine penicillin G	M0000290
Lurasidone	M0006031
Probenecid	M0009553
Penicillin G	M0002845
Metronidazole	M0021930
Chloramphenicol	M0015562
Dextropropoxyphene	M0015742
Ciprofloxacin	M0009740
Clobetasol	M0008722
Felodipine	M0010859
Heparin	M0018126
Tetracycline	M0002836
Chlorpromazine	M0018060
Lidocaine	M0014130
Lurasidone	M0029660
Omeprazole	M0025165
Moxifloxacin	M0002126
Risperidone	M0029660
Hyoscyamine	M0004742
Doxycycline	M0021752
Montelukast	M0001885
Ibuprofen	M0020377
Miconazole	M0021566
Voriconazole	M0003258
Zafirlukast	M0001885
Norfloxacin	M0005558
Captopril	M0018534
Moxifloxacin	M0007733
Atropine	M0002863
Sodium Bicarbonate	M0000215
Ciprofloxacin	M0015562
Hydroxyzine	M0022844
Sulfadiazine	M0015563
Penicillin G	M0007392
Cefpodoxime Proxetil	M0023883
Risperidone	M0005797
Propranolol	M0016586
Vancomycin	M0017367
Butorphanol	M0015742
Bupropion	M0001943
Rifampicin	M0012361
Omeprazole	M0009980
Baclofen	M0014322
Lovastatin	M0010833
Gabapentin	M0002571
Baclofen	M0010660
Lisinopril	M0014340
Valproic Acid	M0007564
Tetracycline	M0024228
Amikacin	M0019935
Methylprednisolone	M0012757
Mycophenolate mofetil	M0009578
Albendazole	M0004618
Rosiglitazone	M0006155
Prednisolone	M0012757
Atorvastatin	M0023401
Estradiol	M0013382
Neomycin	M0010200
Hydroxocobalamin	M0328092
Furazolidone	M0007733
Penicillin G	M0013373
Propranolol	M0026083
Cinacalcet	M0010846
Calcium Gluconate	M0001654
Levofloxacin	M0026097
Amlodipine	M0001181
Cyproheptadine	M0014557
Valacyclovir	M0010276
Enoxaparin	M0017367
Hyoscyamine	M0011598
Heparin	M0001182
Itraconazole	M0015861
Ketoconazole	M0024241
Amiodarone	M0021006
Candesartan	M0006160
Phenylephrine	M0009261
Chlorthalidone	M0007051
Mirtazapine	M0006033
Methotrexate	M0001750
Clomipramine	M0000522
Pancreatin	M0009033
Methylcobalamin	M0006162
Darifenacin	M0461242
Benzathine penicillin G	M0018919
Atropine	M0006855
Benzathine penicillin G	M0007327
Dexamethasone	M0003070
Fenofibrate	M0010833
Triamcinolone	M0010814
Candesartan	M0009953
Sulphacetamide	M0005185
Bemiparin	M0017367
Penicillin G	M0007733
Sodium Bicarbonate	M0010828
Omeprazole	M0020546
Esomeprazole	M0009024
Imatinib mesylate	M0504879
Mifepristone	M0002885
Warfarin	M0021430
Terbinafine	M0021566
Valproic Acid	M0007577
Trimethoprim	M0002126
Insulin Glargine	M0010824
Erythromycin	M0014307
Cyclophosphamide	M0023821
Penicillin G	M0016001
Nitroglycerin	M0014340
Ertapenem	M0022373
Minocycline	M0004244
Methotrexate	M0014314
Glipizide	M0006155
Phenylephrine	M0019786
Heparin	M0005194
Alfuzosin	M0017830
Levofloxacin	M0017900
Linagliptin	M0006155
Ketoconazole	M0012333
Isosorbide Mononitrate	M0023299
Betamethasone	M0019584
Propranolol	M0014340
Azathioprine	M0004771
Chloramphenicol	M0002126
Human insulin	M0006155
Finasteride	M0010381
Ergotamine	M0013864
Amphotericin B	M0020384
Rifampicin	M0020423
Bicalutamide	M0017833
Metoprolol Succinate	M0001180
Enalaprilat	M0007051
Demeclocycline	M0004244
Phenobarbitone	M0328386
Clarithromycin	M0006885
Azathioprine	M0014197
Deflazacort	M0011307
Ketoconazole	M0010434
Valganciclovir	M0025965
Divalproex	M0029642
Rabeprazole	M0006885
Trifluoperazine	M0019489
